date,expiration,option_type,S,strike,bid,ask,market_price,volume,open_interest,days_to_expiration,T,moneyness,moneyness_category,sigma,r,market_price_over_K
2023-08-25,2023-08-29,PUT,440.79,484.0,43.08,43.31,43.195,1,1,4,0.010958904109589,0.9107231404958676,OTM,17.2,0.0556,0.08924586776859504
2023-08-25,2023-08-29,PUT,440.79,454.0,13.09,13.32,13.205,42,17,4,0.010958904109589,0.9709030837004404,ATM,17.2,0.0556,0.029085903083700442
2023-08-25,2023-08-29,PUT,440.79,453.0,12.09,12.32,12.205,12,11,4,0.010958904109589,0.973046357615894,ATM,17.2,0.0556,0.02694260485651214
2023-08-25,2023-08-29,PUT,440.79,452.0,11.1,11.32,11.21,1,10,4,0.010958904109589,0.9751991150442476,ATM,17.2,0.0556,0.024800884955752216
2023-08-25,2023-08-29,PUT,440.79,451.0,10.1,10.32,10.21,11,4,4,0.010958904109589,0.977361419068736,ATM,17.2,0.0556,0.02263858093126386
2023-08-25,2023-08-29,PUT,440.79,450.0,9.1,9.32,9.21,20,24,4,0.010958904109589,0.9795333333333331,ATM,17.2,0.0556,0.020466666666666668
2023-08-25,2023-08-29,PUT,440.79,449.0,8.11,8.32,8.215,6,7,4,0.010958904109589,0.9817149220489976,ATM,17.2,0.0556,0.01829621380846325
2023-08-25,2023-08-29,PUT,440.79,448.0,7.16,7.36,7.26,14,56,4,0.010958904109589,0.98390625,ATM,17.2,0.0556,0.016205357142857143
2023-08-25,2023-08-29,PUT,440.79,447.0,6.25,6.43,6.34,31,380,4,0.010958904109589,0.9861073825503356,ATM,17.2,0.0556,0.0141834451901566
2023-08-25,2023-08-29,PUT,440.79,446.0,5.38,5.54,5.46,78,951,4,0.010958904109589,0.988318385650224,ATM,17.2,0.0556,0.012242152466367713
2023-08-25,2023-08-29,PUT,440.79,445.0,4.57,4.71,4.640000000000001,320,1399,4,0.010958904109589,0.9905393258426964,ATM,17.2,0.0556,0.010426966292134833
2023-08-25,2023-08-29,PUT,440.79,444.0,3.86,3.93,3.895,763,1667,4,0.010958904109589,0.9927702702702702,ATM,17.2,0.0556,0.008772522522522523
2023-08-25,2023-08-29,PUT,440.79,443.0,3.2,3.23,3.215,859,1526,4,0.010958904109589,0.9950112866817156,ATM,17.2,0.0556,0.007257336343115124
2023-08-25,2023-08-29,PUT,440.79,442.0,2.6,2.62,2.6100000000000003,3292,1867,4,0.010958904109589,0.997262443438914,ATM,17.2,0.0556,0.005904977375565611
2023-08-25,2023-08-30,PUT,440.79,435.0,0.67,0.68,0.675,19891,7153,5,0.0136986301369863,1.0133103448275862,ATM,17.2,0.0556,0.0015517241379310346
2023-08-25,2023-08-30,PUT,440.79,434.0,0.53,0.54,0.535,3884,4372,5,0.0136986301369863,1.0156451612903226,ATM,17.2,0.0556,0.0012327188940092168
2023-08-25,2023-08-30,PUT,440.79,433.0,0.42,0.43,0.425,5156,1985,5,0.0136986301369863,1.0179907621247113,ATM,17.2,0.0556,0.0009815242494226328
2023-08-25,2023-08-30,PUT,440.79,432.0,0.33,0.34,0.335,5670,1476,5,0.0136986301369863,1.020347222222222,ATM,17.2,0.0556,0.000775462962962963
2023-08-25,2023-08-30,PUT,440.79,431.0,0.26,0.27,0.265,3410,2630,5,0.0136986301369863,1.0227146171693735,ATM,17.2,0.0556,0.0006148491879350348
2023-08-25,2023-08-30,PUT,440.79,430.0,0.21,0.22,0.215,12903,12367,5,0.0136986301369863,1.025093023255814,ATM,17.2,0.0556,0.0005
2023-08-25,2023-08-29,PUT,440.79,439.0,1.28,1.3,1.29,17323,2568,4,0.010958904109589,1.0040774487471524,ATM,17.2,0.0556,0.002938496583143508
2023-08-25,2023-09-15,PUT,440.79,405.0,0.41,0.42,0.415,9865,45695,21,0.0575342465753424,1.0883703703703702,ITM,17.2,0.0556,0.0010246913580246914
2023-08-25,2023-08-29,PUT,440.79,440.0,1.65,1.66,1.6549999999999998,21336,4302,4,0.010958904109589,1.0017954545454544,ATM,17.2,0.0556,0.003761363636363636
2023-08-25,2023-08-28,PUT,440.79,470.0,29.08,29.31,29.195,1,2,3,0.0082191780821917,0.9378510638297872,OTM,17.2,0.0556,0.06211702127659575
2023-08-25,2023-08-31,PUT,440.79,430.0,0.32,0.33,0.325,8235,6898,6,0.0164383561643835,1.025093023255814,ATM,17.2,0.0556,0.0007558139534883722
2023-08-25,2023-09-05,PUT,440.79,424.0,0.32,0.33,0.325,848,97,11,0.0301369863013698,1.0395990566037736,ITM,17.2,0.0556,0.0007665094339622642
2023-08-25,2023-09-05,PUT,440.79,423.0,0.28,0.29,0.285,191,39,11,0.0301369863013698,1.0420567375886525,ITM,17.2,0.0556,0.0006737588652482269
2023-08-25,2023-09-05,PUT,440.79,422.0,0.25,0.26,0.255,226,36,11,0.0301369863013698,1.0445260663507108,ITM,17.2,0.0556,0.0006042654028436019
2023-08-25,2023-09-05,PUT,440.79,421.0,0.23,0.24,0.235,63,277,11,0.0301369863013698,1.0470071258907363,ITM,17.2,0.0556,0.0005581947743467933
