date,expiration,option_type,S,strike,bid,ask,market_price,volume,open_interest,days_to_expiration,T,moneyness,moneyness_category,sigma,r,market_price_over_K
2023-08-25,2023-09-05,CALL,440.79,431.0,11.09,11.27,11.18,99,8,11,0.0301369863013698,1.0227146171693735,ATM,17.2,0.0556,0.02593967517401392
2023-08-25,2023-09-05,CALL,440.79,430.0,11.98,12.16,12.07,56,12,11,0.0301369863013698,1.025093023255814,ATM,17.2,0.0556,0.028069767441860467
2023-08-25,2023-09-05,CALL,440.79,429.0,12.88,13.07,12.975,2,3,11,0.0301369863013698,1.0274825174825173,ATM,17.2,0.0556,0.030244755244755245
2023-08-25,2023-09-01,CALL,440.79,446.0,1.18,1.19,1.185,6092,5837,7,0.0191780821917808,0.988318385650224,ATM,17.2,0.0556,0.00265695067264574
2023-08-25,2023-09-01,CALL,440.79,445.0,1.5,1.52,1.51,17939,11037,7,0.0191780821917808,0.9905393258426964,ATM,17.2,0.0556,0.0033932584269662923
2023-08-25,2023-09-01,CALL,440.79,444.0,1.88,1.89,1.885,10049,6899,7,0.0191780821917808,0.9927702702702702,ATM,17.2,0.0556,0.0042454954954954955
2023-08-25,2023-09-01,CALL,440.79,443.0,2.31,2.32,2.315,6862,5383,7,0.0191780821917808,0.9950112866817156,ATM,17.2,0.0556,0.005225733634311512
2023-08-25,2023-09-01,CALL,440.79,442.5,2.54,2.56,2.55,5385,5390,7,0.0191780821917808,0.996135593220339,ATM,17.2,0.0556,0.005762711864406779
2023-08-25,2023-09-01,CALL,440.79,442.0,2.79,2.8,2.795,9169,6700,7,0.0191780821917808,0.997262443438914,ATM,17.2,0.0556,0.006323529411764706
2023-08-25,2023-09-01,CALL,440.79,441.0,3.32,3.34,3.33,11967,4540,7,0.0191780821917808,0.9995238095238096,ATM,17.2,0.0556,0.007551020408163266
2023-08-25,2023-09-05,CALL,440.79,425.0,16.61,16.82,16.715,1,17,11,0.0301369863013698,1.0371529411764706,ITM,17.2,0.0556,0.039329411764705884
2023-08-25,2023-09-01,CALL,440.79,438.0,5.2,5.23,5.215,16513,4069,7,0.0191780821917808,1.0063698630136986,ATM,17.2,0.0556,0.011906392694063926
2023-08-25,2023-09-01,CALL,440.79,437.5,5.55,5.58,5.565,7212,2786,7,0.0191780821917808,1.00752,ATM,17.2,0.0556,0.01272
2023-08-25,2023-08-31,CALL,440.79,443.0,1.94,1.95,1.945,3431,1749,6,0.0164383561643835,0.9950112866817156,ATM,17.2,0.0556,0.004390519187358916
2023-08-25,2023-08-31,CALL,440.79,438.0,4.81,4.84,4.824999999999999,8049,2439,6,0.0164383561643835,1.0063698630136986,ATM,17.2,0.0556,0.011015981735159816
2023-08-25,2023-08-31,CALL,440.79,437.0,5.53,5.58,5.555,7094,1755,6,0.0164383561643835,1.0086727688787185,ATM,17.2,0.0556,0.012711670480549199
2023-08-25,2023-08-31,CALL,440.79,436.0,6.26,6.36,6.3100000000000005,3247,2566,6,0.0164383561643835,1.01098623853211,ATM,17.2,0.0556,0.014472477064220184
2023-08-25,2023-08-31,CALL,440.79,435.0,7.06,7.17,7.115,2367,3622,6,0.0164383561643835,1.0133103448275862,ATM,17.2,0.0556,0.01635632183908046
2023-08-25,2023-08-31,CALL,440.79,434.0,7.88,8.03,7.955,624,2411,6,0.0164383561643835,1.0156451612903226,ATM,17.2,0.0556,0.018329493087557602
2023-08-25,2023-08-31,CALL,440.79,433.0,8.74,8.9,8.82,191,3119,6,0.0164383561643835,1.0179907621247113,ATM,17.2,0.0556,0.020369515011547344
2023-08-25,2023-08-31,CALL,440.79,432.0,9.62,9.8,9.71,98,1328,6,0.0164383561643835,1.020347222222222,ATM,17.2,0.0556,0.022476851851851855
2023-08-25,2023-08-31,CALL,440.79,431.0,10.53,10.72,10.625,36,976,6,0.0164383561643835,1.0227146171693735,ATM,17.2,0.0556,0.024651972157772623
2023-08-25,2023-08-30,CALL,440.79,450.0,0.13,0.14,0.135,1750,1765,5,0.0136986301369863,0.9795333333333331,ATM,17.2,0.0556,0.00030000000000000003
2023-08-25,2023-08-31,CALL,440.79,441.0,2.92,2.94,2.93,6771,3722,6,0.0164383561643835,0.9995238095238096,ATM,17.2,0.0556,0.006643990929705215
2023-08-25,2023-08-31,CALL,440.79,451.0,0.17,0.18,0.175,1274,1460,6,0.0164383561643835,0.977361419068736,ATM,17.2,0.0556,0.00038802660753880266
2023-08-25,2023-08-31,CALL,440.79,450.0,0.25,0.26,0.255,3442,5248,6,0.0164383561643835,0.9795333333333331,ATM,17.2,0.0556,0.0005666666666666667
